id,tissue,mes,epi,p,b vs c,c vs d,d vs b,poverall,p1,p2,p3
MCP-5,5514.00 ,277004.00 ,115789.00 ,0,1.29E-07,5.78E-06,6.04E-07,TRUE,TRUE,TRUE,TRUE
VCAM-1,30011.00 ,98850.00 ,53919.00 ,0,1.34E-05,0.00019791,5.16E-05,TRUE,TRUE,TRUE,TRUE
Gas 6,2984.00 ,7278.00 ,4506.00 ,0,1.60E-05,1.91E-05,0.001176663,TRUE,TRUE,TRUE,FALSE
MIP-2,2242.00 ,253118.00 ,151111.00 ,0,7.25E-07,0.000194238,4.47E-08,TRUE,TRUE,TRUE,TRUE
MIP-1a,1666.00 ,428348.00 ,176409.00 ,0,1.12E-06,3.75E-05,9.40E-07,TRUE,TRUE,TRUE,TRUE
MIP-3b,871.00 ,2003.00 ,1329.00 ,0,6.18E-06,0.000928216,0.007026251,TRUE,TRUE,TRUE,FALSE
Lipocalin-2,951.00 ,5645.00 ,2987.00 ,0,2.02E-05,0.000948042,0.000168576,TRUE,TRUE,TRUE,TRUE
Testican 3,1304.00 ,5571.00 ,3602.00 ,0,2.09E-07,0.000713333,0.000232203,TRUE,TRUE,TRUE,TRUE
CCL6,985.00 ,34490.00 ,21076.00 ,0,5.13E-08,0.001068281,6.43E-05,TRUE,TRUE,FALSE,TRUE
CD48,1339.00 ,3615.00 ,2435.00 ,0,3.23E-05,0.001896358,7.85E-05,TRUE,TRUE,FALSE,TRUE
Pentraxin 3,1256.00 ,11228.00 ,4866.00 ,0,2.28E-05,0.000551508,0.000193055,TRUE,TRUE,TRUE,TRUE
TNF RII,19617.00 ,207941.00 ,89849.00 ,0,5.82E-05,0.001266249,0.000226718,TRUE,TRUE,FALSE,TRUE
MCSF,2414.00 ,1494.00 ,996.00 ,0,2.76E-05,0.001354911,4.71E-06,TRUE,TRUE,FALSE,TRUE
LIX,5931.00 ,36458.00 ,20658.00 ,0,0.000109139,0.005717421,0.000118328,TRUE,TRUE,FALSE,TRUE
Dkk-1,2520.00 ,7900.00 ,2714.00 ,0,3.02E-06,4.59E-06,0.116749132,TRUE,TRUE,TRUE,FALSE
Osteoactivin,736.00 ,11235.00 ,4956.00 ,0,1.35E-05,0.001225572,0.001220641,TRUE,TRUE,FALSE,FALSE
PF4,16362.00 ,466617.00 ,119975.00 ,0,2.41E-08,3.55E-07,2.07E-05,TRUE,TRUE,TRUE,TRUE
TROY,8346.00 ,5424.00 ,3589.00 ,0,3.71E-06,0.000232235,1.36E-06,TRUE,TRUE,TRUE,TRUE
IL-1ra,1168.00 ,31038.00 ,7396.00 ,0,6.34E-10,7.54E-09,1.11E-06,TRUE,TRUE,TRUE,TRUE
Galectin-1,24710.00 ,66263.00 ,51912.00 ,0,2.87E-07,0.002540754,8.34E-05,TRUE,TRUE,FALSE,TRUE
PlGF-2,34499.00 ,128822.00 ,96074.00 ,0,6.28E-05,0.027546195,0.000210031,TRUE,TRUE,FALSE,TRUE
IL-17,3108.00 ,3936.00 ,3099.00 ,0,6.85E-07,2.36E-05,0.892306233,TRUE,TRUE,TRUE,FALSE
TIM-1,4786.00 ,2679.00 ,4671.00 ,0,0.000337415,0.001419907,0.787566209,TRUE,TRUE,FALSE,FALSE
Progranulin,3241.00 ,92870.00 ,20357.00 ,0,1.90E-07,9.16E-07,6.65E-06,TRUE,TRUE,TRUE,TRUE
IL-6,4969.00 ,59585.00 ,15263.00 ,0,3.19E-05,0.000108079,2.59E-06,TRUE,TRUE,TRUE,TRUE
HGF,1748.00 ,4272.00 ,1864.00 ,0,0.000593664,0.000871559,0.529668399,TRUE,TRUE,TRUE,FALSE
IL-1a,7599.00 ,5201.00 ,1984.00 ,0,0.004707776,0.000894577,4.60E-07,TRUE,FALSE,TRUE,TRUE
Fas L,749.00 ,1734.00 ,499.00 ,0,0.000704019,5.48E-05,0.05732202,TRUE,TRUE,TRUE,FALSE
KC,5410.00 ,215028.00 ,185339.00 ,0,1.11E-07,0.017323416,5.84E-08,TRUE,TRUE,FALSE,TRUE
CD40L,2442.00 ,2533.00 ,2265.00 ,0,0.232944129,0.074166852,0.25307481,TRUE,FALSE,FALSE,FALSE
IL-10,8542.00 ,12722.00 ,8355.00 ,0,1.25E-05,2.96E-05,0.479808864,TRUE,TRUE,TRUE,FALSE
OPG,798.00 ,197965.00 ,169413.00 ,0,1.06E-06,0.109126131,6.27E-06,TRUE,TRUE,FALSE,TRUE
G-CSF,1168.00 ,15590.00 ,2180.00 ,0,5.18E-06,8.66E-06,0.000966201,TRUE,TRUE,TRUE,TRUE
Eotaxin,2446.00 ,30458.00 ,4603.00 ,0,1.63E-05,2.82E-05,0.00211663,TRUE,TRUE,TRUE,FALSE
RANTES,3616.00 ,181618.00 ,29161.00 ,0,4.50E-06,1.37E-05,0.000186851,TRUE,TRUE,TRUE,TRUE
CT-1,3228.00 ,3034.00 ,2457.00 ,0,0.51208222,0.077859547,0.012345937,TRUE,FALSE,FALSE,FALSE
DAN,5083.00 ,1522.00 ,3396.00 ,0,6.17E-08,9.94E-05,0.000336566,TRUE,TRUE,TRUE,TRUE
